t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.00000000,-1.044564342,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,0,0,0,0,0
0.00833333,-1.042281105,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,0.5478299885,5.408094809e-17,-5.408094809e-17,1.216821332e-16,-5.408094809e-17
0.01666667,-1.035438413,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,1.094013603,1.081618962e-16,-1.081618962e-16,2.433642664e-16,-1.081618962e-16
0.02500000,-1.02405643,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,1.63699668,1.622428443e-16,-1.622428443e-16,3.650463996e-16,-1.622428443e-16
0.03333333,-1.008168493,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,2.175167822,2.163237924e-16,-2.163237924e-16,4.867285328e-16,-2.163237924e-16
0.04166667,-0.9878216978,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,2.706832088,2.704047405e-16,-2.704047405e-16,6.08410666e-16,-2.704047405e-16
0.05000000,-0.9630776928,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,3.230187864,3.244856886e-16,-3.244856886e-16,7.300927993e-16,-3.244856886e-16
0.05833333,-0.9340136527,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,3.743308029,3.785666367e-16,-3.785666367e-16,8.517749325e-16,-3.785666367e-16
0.06666667,-0.9007233833,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,4.244126524,4.326475847e-16,-4.326475847e-16,9.734570657e-16,-4.326475847e-16
0.07500000,-0.8633185127,-0.1490997853,-0.03973708622,0.04525239306,0.1584024137,4.730431421,4.867285328e-16,-4.867285328e-16,1.095139199e-15,-4.867285328e-16
0.08333333,-0.8219305189,-0.1490990569,-0.03973708617,0.04525239306,0.1584024137,5.199230617,0.0005724709039,8.299025759e-08,2.089890638e-12,-5.408094809e-16
0.09166667,-0.776733263,-0.1490765123,-0.03973706514,0.04525239308,0.1584024137,5.643655367,0.005811630707,8.696462076e-06,6.651168225e-09,1.585162163e-12
